locatie_naam,printer_naam,merk,model,inventaris_id,inventaris_url,opmerking
Heist-od-Berg,HP Color LaserJet Pro MFP 4302fdw,HP,MFP M479fdw,PROFO-PT-2024-001,https://inventaris.picture360.eu/hardware/966,
Leuven,HP Laserjet P4015x,HP,HP Laserjet P4015x,PROFO-PT-20XX-004,https://inventaris.picture360.eu/hardware/600,
